DOID,hpoid
DOID:0050848,HP:0001337
DOID:0050848,HP:0000365
DOID:0050848,HP:0030833
DOID:0050848,HP:0001681
DOID:0050873,HP:0003418
DOID:0050873,HP:0002277
DOID:0050873,HP:0003419
DOID:0050873,HP:0010550
DOID:0050873,HP:0002063
DOID:0050873,HP:0000969
DOID:0050873,HP:0004417
DOID:0050873,HP:0025143
DOID:0050873,HP:0001513
DOID:0050873,HP:0001250
DOID:0050873,HP:0002014
DOID:0050873,HP:0001251
DOID:0050873,HP:0001279
DOID:0050873,HP:0011868
DOID:0050873,HP:0002094
DOID:0050873,HP:0001324
DOID:0050873,HP:0003401
DOID:0050873,HP:0002578
DOID:0050873,HP:0025502
DOID:0050873,HP:0010702
DOID:0050873,HP:0002027
DOID:0050873,HP:0002013
DOID:0050873,HP:0030833
DOID:0050873,HP:0001945
DOID:0050882,HP:0002045
DOID:0050882,HP:0000551
DOID:0050882,HP:0002321
DOID:0050882,HP:0000575
DOID:0050882,HP:0002072
DOID:0050882,HP:0001336
DOID:0050882,HP:0000618
DOID:0050882,HP:0010550
DOID:0050882,HP:0002063
DOID:0050882,HP:0001332
DOID:0050882,HP:0001260
DOID:0050882,HP:0000602
DOID:0050882,HP:0001605
DOID:0050882,HP:0002375
DOID:0050882,HP:0001249
DOID:0050882,HP:0002883
DOID:0050882,HP:0002066
DOID:0050882,HP:0001513
DOID:0050882,HP:0001250
DOID:0050882,HP:0001257
DOID:0050882,HP:0002014
DOID:0050882,HP:0001251
DOID:0050882,HP:0000407
DOID:0050882,HP:0001324
DOID:0050882,HP:0000616
DOID:0050882,HP:0003202
DOID:0050882,HP:0002186
DOID:0050882,HP:0012378
DOID:0050882,HP:0002301
DOID:0050882,HP:0000473
DOID:0050882,HP:0001945
DOID:0050882,HP:0001337
DOID:0050882,HP:0000365
DOID:0050882,HP:0003419
DOID:0050882,HP:0100660
DOID:0050902,HP:0003418
DOID:0050902,HP:0002321
DOID:0050902,HP:0001336
DOID:0050902,HP:0000360
DOID:0050902,HP:0012735
DOID:0050902,HP:0000618
DOID:0050902,HP:0001260
DOID:0050902,HP:0000969
DOID:0050902,HP:0000602
DOID:0050902,HP:0007209
DOID:0050902,HP:0001249
DOID:0050902,HP:0002883
DOID:0050902,HP:0001250
DOID:0050902,HP:0000738
DOID:0050902,HP:0002014
DOID:0050902,HP:0000957
DOID:0050902,HP:0001251
DOID:0050902,HP:0002018
DOID:0050902,HP:0000407
DOID:0050902,HP:0001824
DOID:0050902,HP:0001324
DOID:0050902,HP:0002300
DOID:0050902,HP:0002829
DOID:0050902,HP:0004324
DOID:0050902,HP:0031179
DOID:0050902,HP:0012531
DOID:0050902,HP:0001252
DOID:0050902,HP:0002027
DOID:0050902,HP:0002315
DOID:0050902,HP:0003470
DOID:0050902,HP:0002445
DOID:0050902,HP:0001337
DOID:0050902,HP:0002013
DOID:0050902,HP:0000365
DOID:0050902,HP:0001945
DOID:0050908,HP:0002019
DOID:0050908,HP:0000103
DOID:0050908,HP:0012735
DOID:0050908,HP:0000618
DOID:0050908,HP:0002039
DOID:0050908,HP:0000969
DOID:0050908,HP:0001249
DOID:0050908,HP:0000989
DOID:0050908,HP:0025143
DOID:0050908,HP:0001513
DOID:0050908,HP:0001250
DOID:0050908,HP:0002014
DOID:0050908,HP:0002018
DOID:0050908,HP:0000407
DOID:0050908,HP:0002105
DOID:0050908,HP:0001279
DOID:0050908,HP:0002094
DOID:0050908,HP:0001824
DOID:0050908,HP:0003401
DOID:0050908,HP:0002829
DOID:0050908,HP:0012378
DOID:0050908,HP:0010702
DOID:0050908,HP:0031284
DOID:0050908,HP:0012531
DOID:0050908,HP:0002027
DOID:0050908,HP:0002315
DOID:0050908,HP:0100749
DOID:0050908,HP:0000979
DOID:0050908,HP:0001945
DOID:0050908,HP:0002013
DOID:0050908,HP:0000365
DOID:0050908,HP:0003419
DOID:0050908,HP:0001681
